epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,27452,0.75898,0.50188,0.98285,0.78723,0.63493,0.68287,0.37906,1.62406,1.0896,1.5196,0.000252066,0.000252066,0.000252066
75,27773,0.72455,0.46942,0.96698,0.77301,0.61148,0.66101,0.35652,1.59642,1.11462,1.5133,0.000243067,0.000243067,0.000243067
76,28097.3,0.74427,0.47918,0.96591,0.70729,0.5783,0.61257,0.35595,1.6067,1.07431,1.50967,0.000234068,0.000234068,0.000234068
77,28420.9,0.7188,0.46947,0.9594,0.78283,0.59399,0.68097,0.37199,1.6192,1.08049,1.52005,0.000225068,0.000225068,0.000225068
78,28747.8,0.71561,0.46829,0.96156,0.80298,0.58561,0.68402,0.36104,1.6094,1.0889,1.51434,0.000216069,0.000216069,0.000216069
79,29075.5,0.72568,0.4678,0.96356,0.69067,0.60038,0.63859,0.36182,1.61235,1.08304,1.51863,0.00020707,0.00020707,0.00020707
80,29401.3,0.71386,0.45499,0.95374,0.73518,0.58102,0.64927,0.36045,1.62239,1.04578,1.52731,0.000198071,0.000198071,0.000198071
81,29725.3,0.68839,0.45386,0.94968,0.63098,0.60908,0.61375,0.35846,1.64762,1.11003,1.5418,0.000189072,0.000189072,0.000189072
82,30047.9,0.68753,0.4475,0.95304,0.66749,0.6224,0.63093,0.34497,1.65252,1.092,1.52592,0.000180073,0.000180073,0.000180073
83,30371.1,0.67569,0.44229,0.94839,0.6559,0.61163,0.62725,0.36667,1.64294,1.09025,1.51864,0.000171074,0.000171074,0.000171074
84,30694.2,0.67002,0.42679,0.93468,0.69176,0.59907,0.64684,0.3742,1.61283,1.06401,1.51417,0.000162075,0.000162075,0.000162075
85,31016.3,0.62097,0.41675,0.93768,0.66432,0.62534,0.65251,0.37353,1.6282,1.07596,1.53173,0.000153076,0.000153076,0.000153076
86,31347.2,0.66731,0.43382,0.94193,0.70527,0.66587,0.6829,0.37972,1.61916,1.05815,1.52803,0.000144077,0.000144077,0.000144077
87,31671.1,0.64973,0.4165,0.92714,0.60152,0.67329,0.6732,0.37672,1.62149,1.07782,1.52988,0.000135077,0.000135077,0.000135077
88,31995.9,0.66097,0.42293,0.9435,0.7458,0.59159,0.66683,0.36912,1.60443,1.05846,1.52163,0.000126078,0.000126078,0.000126078
89,32322.8,0.63471,0.41043,0.9308,0.79088,0.56719,0.67262,0.37144,1.5877,1.04942,1.5167,0.000117079,0.000117079,0.000117079
90,32659,0.65253,0.42037,0.94448,0.67517,0.63304,0.68088,0.3797,1.59449,1.02005,1.52121,0.00010808,0.00010808,0.00010808
91,32983.7,0.5957,0.38006,0.89476,0.77412,0.62059,0.68105,0.38135,1.60597,1.00704,1.52863,9.9081e-05,9.9081e-05,9.9081e-05
92,33304.2,0.57699,0.37494,0.89494,0.74514,0.62613,0.68478,0.38399,1.59146,1.01698,1.51967,9.00819e-05,9.00819e-05,9.00819e-05
93,33625.4,0.57791,0.36583,0.88724,0.78695,0.62618,0.69162,0.38091,1.59307,1.03361,1.5221,8.10828e-05,8.10828e-05,8.10828e-05
94,33943.1,0.54959,0.35806,0.87012,0.73582,0.62081,0.67453,0.37487,1.59729,1.02333,1.52063,7.20837e-05,7.20837e-05,7.20837e-05
95,34260,0.54435,0.35994,0.87752,0.75361,0.62647,0.67431,0.38275,1.59513,1.04152,1.52047,6.30846e-05,6.30846e-05,6.30846e-05
96,34578.7,0.54214,0.35108,0.87216,0.75735,0.62341,0.67882,0.38153,1.59442,1.03315,1.51501,5.40855e-05,5.40855e-05,5.40855e-05
97,34898.5,0.52654,0.34857,0.86726,0.72403,0.59006,0.65521,0.38124,1.59242,1.0232,1.51637,4.50864e-05,4.50864e-05,4.50864e-05
98,35221.8,0.52328,0.34641,0.86962,0.82745,0.61954,0.69389,0.38683,1.59477,1.02257,1.52079,3.60873e-05,3.60873e-05,3.60873e-05
99,35543.9,0.51987,0.33905,0.8627,0.82455,0.61308,0.69521,0.3895,1.5971,1.03149,1.52516,2.70882e-05,2.70882e-05,2.70882e-05
100,35866.9,0.5195,0.33463,0.86826,0.82104,0.6065,0.69301,0.39052,1.58857,1.0288,1.52038,1.80891e-05,1.80891e-05,1.80891e-05
